source,title,link
Autocar India,Ferrari reveals one-off HC25 based on F8 SpiderBespoke Special Projects model introduces new Ferrari design cues while retaining the F8 Spider’s 720hp twin-turbo V8.YesterdayDhruv Dhaka,https://www.autocarindia.com/car-news/ferrari-reveals-one-off-hc25-based-on-f8-spider-439746
Autocar India,India’s used-car market to reach 10 million units by FY31: Redseer reportYesterdayDhruv Dhaka,https://www.autocarindia.com/car-news/indias-used-car-market-to-reach-10-million-units-by-fy31-redseer-report-439745
Autocar India,BMW sub-brand Alpina reveals Vision grand tourer conceptYesterdayUday Singh,https://www.autocarindia.com/car-news/bmw-sub-brand-alpina-reveals-vision-grand-tourer-concept-439744
Autocar India,Volkswagen reveals ID Polo GTI as its first-ever electric GTI model15 May 2026Dipan Sur,https://www.autocarindia.com/car-news/volkswagen-reveals-id-polo-gti-as-its-first-ever-electric-gti-model-439743
Autocar India,Honda unveils new hybrid sedan prototype15 May 2026Glenn Noronha,https://www.autocarindia.com/car-news/honda-unveils-new-hybrid-sedan-prototype-439740
Autocar India,Made-in-India Toyota Starlet scores 0-star Global NCAP rating15 May 2026Viraaj Bhatnagar,https://www.autocarindia.com/car-news/made-in-india-toyota-starlet-scores-0-star-global-ncap-rating-439741
Autocar India,Tata says its first flex-fuel vehicle could be ready by end of 202615 May 2026Dhruv Dhaka,https://www.autocarindia.com/car-news/tata-says-its-first-flex-fuel-vehicle-could-be-ready-by-end-2026-439739
Autocar India,369K+Top 10 cheapest 7 seater cars in India19 Feb 2026Uday Singh1,https://www.autocarindia.com/car-news/top-10-cheapest-7-seater-cars-in-india-419390
Autocar India,74K+Mahindra offers to buy back initial batch of BE 6 Batman Edition18 Mar 2026Suraj Viswanathan2,https://www.autocarindia.com/car-news/mahindra-offers-to-buyback-first-999-units-of-be-6-batman-edition-439250
Autocar India,"63K+Maruti Invicto, Fronx, Baleno get discounts of up to Rs 2.15 lakh in May 20266 May 2026Dhruv Dhaka3",https://www.autocarindia.com/car-news/maruti-invicto-fronx-baleno-get-discounts-of-up-to-rs-215-lakh-in-may-2026-439652
Autocar India,50K+Outgoing Skoda Kushaq gets discounts of up to Rs 3 lakh in April 202618 Apr 2026Glenn Noronha4,https://www.autocarindia.com/car-news/outgoing-skoda-kushaq-gets-discounts-of-up-to-rs-3-lakh-in-april-2026-439500
RushLane,Car News,https://www.rushlane.com/category/cars-news
RushLane,Bike News,https://www.rushlane.com/category/bikes-news
RushLane,EV News,https://www.rushlane.com/category/electric-vehicles
RushLane,CV News,https://www.rushlane.com/category/commercial-vehicles-news
RushLane,Spy Shots,https://www.rushlane.com/category/spy-shots
RushLane,Videos,https://www.rushlane.com/videos
RushLane,Reviews,https://www.rushlane.com/category/reviews
RushLane,About Us,https://www.rushlane.com/about
RushLane,Tips,https://www.rushlane.com/share-your-spy-pictures-and-win-prizes
RushLane,Contact Us,https://www.rushlane.com/contacts
RushLane,2026 Maruti Brezza Facelift Spied Emission Testing – Is It 1.2 NA Or 1.0 Turbo?,https://www.rushlane.com/2026-maruti-brezza-facelift-spied-emission-testing-is-it-1-2-na-or-1-0-turbo-12546667.html
RushLane,Akshay Kulkarni,https://www.rushlane.com/author/akshay
RushLane,New Maruti Electric Car Spied Ahead Of Launch – Upcoming YMC EV?,https://www.rushlane.com/new-maruti-electric-car-spied-ahead-of-launch-upcoming-ymc-ev-12546563.html
RushLane,2027 Hyundai Bayon SUV Spied In India – New Mid Size SUV Below Creta,https://www.rushlane.com/2027-hyundai-bayon-suv-spied-in-india-new-mid-size-suv-below-creta-12546540.html
RushLane,Honda To Launch New Sub 4m SUV and Mid Size SUV By 2028 in India – CEO,https://www.rushlane.com/honda-to-launch-new-sub-4m-suv-and-mid-size-suv-by-2028-in-india-ceo-12546499.html
RushLane,2026 Honda City Facelift Spied Undisguised Ahead Of India Launch – New Front Design,https://www.rushlane.com/2026-honda-city-facelift-spied-undisguised-12546422.html
RushLane,Electric Vehicles,https://rushlane.com/category/electric-vehicles
RushLane,Ather Rizta Crosses 3 Lakh Sales In 2 Years – 76% Of FY26 Total Sales,https://www.rushlane.com/ather-rizta-crosses-3-lakh-sales-in-2-years-76-of-fy26-total-sales-12546215.html
RushLane,"Electric 2W Sales April 2026 – TVS, Bajaj, Ather, Hero, Ola, Ampere, River, Bgauss",https://www.rushlane.com/electric-2w-sales-april-2026-tvs-bajaj-ather-hero-ola-12545900.html
RushLane,Honda WN7 Electric Motorcycle Patented In India – Launch Soon?,https://www.rushlane.com/honda-wn7-electric-motorcycle-patented-in-india-launch-soon-12546121.html
RushLane,"Electric Car Sales April 2026 – Tata, Mahindra, MG, Vinfast, Maruti, Hyundai, BYD, Kia, BMW, Mercedes, Tesla",https://www.rushlane.com/electric-car-sales-april-2026-tata-mahindra-mg-vinfast-maruti-hyundai-12545882.html
RushLane,"Lexus TZ Electric SUV Debuts – 95.8 kWh, 530 km, 402 bhp, AWD",https://www.rushlane.com/lexus-tz-electric-suv-debuts-95-8-kwh-530-km-402-bhp-awd-12546002.html
RushLane,New Hero Destini 110 Review – Everyday Scooter Done Right?,https://www.rushlane.com/new-hero-destini-110-review-everyday-scooter-done-right-12546347.html
RushLane,TVS Norton Atlas 585cc ADV To Be Made In India – Launch Later This Year,https://www.rushlane.com/tvs-norton-atlas-585cc-adv-to-be-made-in-india-launch-later-this-year-12546680.html
RushLane,Satya Singh,https://www.rushlane.com/author/satya
RushLane,"Top 10 Two Wheelers April 2026 – Splendor, Activa, Shine, Pulsar, Jupiter, Access, Apache",https://www.rushlane.com/top-10-two-wheelers-april-2026-splendor-activa-shine-pulsar-12546676.html
RushLane,Pearl Daniels,https://www.rushlane.com/author/pearlsd
RushLane,Honda Hybrid Sedan and SUV Prototype Debuts – Launch By 2028,https://www.rushlane.com/honda-hybrid-sedan-and-suv-prototype-debuts-launch-by-2028-12546660.html
RushLane,"Kia India Sales Breakup April 2026 – Seltos, Sonet, Syros, Carnival",https://www.rushlane.com/kia-india-sales-breakup-april-2026-seltos-sonet-syros-carnival-12546303.html
RushLane,"Volkswagen ID Polo GTI EV Revealed – 226 bhp, 6.8s 0-100, 424 km Range",https://www.rushlane.com/volkswagen-id-polo-gti-ev-revealed-226-bhp-6-8s-0-100-424-km-range-12546647.html
RushLane,VIEW ALL,https://rushlane.com/tag/news
RushLane,"Tata Sierra EV Launch Soon – 2 New Cars,  4 Facelifts In 2026",https://www.rushlane.com/tata-sierra-ev-launch-soon-2-new-cars-4-facelifts-in-2026-12546644.html
RushLane,"Hyundai Sales Breakup April 2026 – Creta, Venue, Aura, Exter, i20, i10, Verna, Alcazar",https://www.rushlane.com/hyundai-sales-breakup-april-2026-creta-venue-aura-exter-12546283.html
RushLane,"Upcoming Sub 4m SUVs In India – Maruti, Hyundai, Kia, Mahindra, Tata",https://www.rushlane.com/upcoming-sub-4m-suvs-in-india-maruti-hyundai-kia-mahindra-tata-12546636.html
RushLane,Tata Flex Fuel Car Launch This Year – Up to E100 Ethanol Blending,https://www.rushlane.com/tata-flex-fuel-car-launch-this-year-up-to-e100-ethanol-blending-12546633.html
RushLane,"Skoda VW Sales Breakup April 2026 – Kylaq, Kushaq, Taigun, Virtus, Tayron",https://www.rushlane.com/skoda-vw-sales-breakup-april-2026-kylaq-kushaq-taigun-12546319.html
RushLane,VIEW ALL,https://rushlane.com/category/cars-news
RushLane,TVS To Increase Production By 15 Lakh Units Within 1 Year,https://www.rushlane.com/tvs-to-increase-production-by-15-lakh-units-within-1-year-12546523.html
RushLane,Royal Enfield Sherpa FT MK2 Debuts – To Race At 2026 Flat Track World Championship,https://www.rushlane.com/royal-enfield-sherpa-ft-mk2-debuts-to-race-at-2026-flat-track-world-championship-12546408.html
RushLane,Yamaha R15 and R3 70th Anniversary Editions Debuts – Revisits 60s-70s,https://www.rushlane.com/yamaha-r15-and-r3-70th-anniversary-editions-debuts-revisits-60s-70s-12546301.html
RushLane,2026 Honda NX500 E-Clutch India Launch Price Rs 7.44 Lakh,https://www.rushlane.com/2026-honda-nx500-e-clutch-india-launch-price-rs-7-44-lakh-12546237.html
RushLane,Ducati Panigale V4 Lamborghini India Launch Price Rs 1 Crore – 1st Unit Delivered To Owner In Mumbai,https://www.rushlane.com/ducati-panigale-v4-lamborghini-india-launch-price-rs-1-crore-12546208.html
RushLane,VIEW ALL,https://rushlane.com/category/bikes-news
RushLane,BYD,https://www.rushlane.com/category/cars-news/byd
RushLane,BYD Sealion 6 PHEV Spied Again – Launch This Year?,https://www.rushlane.com/byd-sealion-6-phev-spied-again-launch-this-year-12546551.html
RushLane,2027 Kia Sonet Spied Again – Side and Rear Design Detailed In New Spyshots,https://www.rushlane.com/2027-kia-sonet-spied-again-side-and-rear-design-new-spyshots-12546527.html
RushLane,"Kia Sorento Spied Testing Again – Rivals Kodiaq, Tayron, Fortuner, Majestor",https://www.rushlane.com/kia-sorento-spied-testing-again-rivals-kodiaq-tayron-fortuner-majestor-12546490.html
RushLane,New Fiat F2X Fastback SUV Spied In India – Citroen Basalt Cousin,https://www.rushlane.com/new-fiat-f2x-fastback-suv-spied-in-india-citroen-basalt-cousin-12546434.html
RushLane,New Kia Seltos Testing Continues Ahead Of Hybrid Launch,https://www.rushlane.com/new-kia-seltos-testing-continues-ahead-of-hybrid-launch-12546272.html
RushLane,VIEW ALL,https://rushlane.com/category/spy-shots
RushLane,PRIVACY,https://www.rushlane.com/privacy
RushLane,COPYRIGHT,https://www.rushlane.com/copyright
RushLane,DISCLAIMER,https://www.rushlane.com/disclaimer
AutoX,Home,https://www.autox.com/
AutoX,News,https://www.autox.com/news/
AutoX,c,https://www.autox.com/news/industry-news/
AutoX,BYD Prices in India to Increase by up to 2% from July 2026,https://www.autox.com/news/car-news/byd-prices-in-india-to-increase-by-up-to-2-from-july-2026-123513/
AutoX,New Honda Sub-4m SUV Confirmed for India,https://www.autox.com/news/car-news/new-honda-sub-4m-suv-confirmed-for-india-123515/
AutoX,Honda City facelift leaked Ahead of India Launch on 22 May,https://www.autox.com/news/car-news/honda-city-facelift-leaked-ahead-of-india-launch-on-22-may-123512/
AutoX,Kia Launches Carens Clavis EV with Battery Rental Scheme Introduced at Rs 12.84 Lakh,https://www.autox.com/news/car-news/kia-launches-carens-clavis-ev-with-battery-rental-scheme-introduced-at-rs-1284-lakh-123510/
AutoX,Lamborghini Revuelto NA63 Edition Revealed; Limited to 63 Units,https://www.autox.com/news/car-news/lamborghini-revuelto-na63-edition-revealed-limited-to-63-units-123507/
AutoX,Jaguar Confirms Type 01 Name for New Electric 4-Door GT,https://www.autox.com/news/car-news/jaguar-confirms-type-01-name-for-new-electric-four-door-gt-123506/
AutoX,Tata Altroz CNG with AMT Gearbox Launched at Rs 8.70 Lakh,https://www.autox.com/news/car-news/tata-altroz-cng-with-amt-gearbox-launched-at-rs-870-lakh-123503/
AutoX,Audi Q9 Revealed Ahead Of Debut With Triple-Screen Dashboard and More,https://www.autox.com/news/car-news/audi-q9-revealed-ahead-of-debut-with-triple-screen-dashboard-and-more-123502/
AutoX,Range Rover Sport SV Launched in India at Rs 2.05 Crore,https://www.autox.com/news/car-news/range-rover-sport-sv-launched-in-india-at-rs-205-crore-123501/
AutoX,Exclusive: Is Kia Testing the Seltos Hybrid in India?,https://www.autox.com/news/car-news/exclusive-is-kia-testing-the-seltos-hybrid-in-india-123500/
AutoX,"2026 Skoda Kodiaq Launched in India at Rs 36.99 Lakh, Adds ADAS",https://www.autox.com/news/car-news/2026-skoda-kodiaq-launched-in-india-at-rs-3699-lakh-adds-adas-123497/
AutoX,Lamborghini Fenomeno Roadster Revealed with 1065bhp V12 Hybrid Powertrain; Limited to 15 Units,https://www.autox.com/news/car-news/lamborghini-fenomeno-roadster-revealed-with-1065bhp-v12-hybrid-powertrain-limited-to-15-units-123496/
AutoX,F1 To Scrap 50/50 Engine-Electric Power Split for 2027: All You Need to Know,https://www.autox.com/news/car-news/f1-to-scrap-5050-engine-electric-power-split-for-2027-all-you-need-to-know-123494/
AutoX,Porsche Taycan Turbo GT Beats BYD Yangwang U9 Xtreme To Set New Nurburgring EV Record,https://www.autox.com/news/car-news/porsche-taycan-turbo-gt-beats-byd-yangwang-u9-xtreme-to-set-new-nurburgring-ev-record-123493/
AutoX,"Audi Resurrects 1935 Auto Union Lucca With Larger, More Powerful V16 Engine",https://www.autox.com/news/car-news/audi-resurrects-1935-auto-union-lucca-with-larger-more-powerful-v16-engine-123491/
AutoX,Volkswagen Golf GTI Edition 50 Becomes Nurburgring’s Quickest Front-wheel-drive Production Car,https://www.autox.com/news/car-news/volkswagen-golf-gti-edition-50-becomes-nurburgrings-quickest-front-wheel-drive-production-car-123490/
AutoX,Lexus TZ SUV Revealed as the Brand’s First Three-row Electric SUV with up to 530km Range,https://www.autox.com/news/car-news/lexus-tz-suv-revealed-as-the-brands-first-three-row-electric-suv-with-up-to-530km-range-123489/
AutoX,"Volkswagen Golf R 24H Revealed As Track-Focused Hot Hatch, Targets 2027 Nurburgring Race",https://www.autox.com/news/car-news/volkswagen-golf-r-24h-revealed-as-track-focused-hot-hatch-123488/
AutoX,Maruti Suzuki Brezza Facelift Spotted With New Mystery MPV - Next Gen Ertiga?,https://www.autox.com/news/car-news/maruti-suzuki-brezza-facelift-spotted-with-new-mystery-mpv-next-gen-ertiga-123485/
AutoX,"Toyota Fortuner SUV Prices Increased in India by up to Rs 87,000",https://www.autox.com/news/car-news/toyota-fortuner-suv-prices-increased-in-india-by-up-to-rs-87000-123482/
AutoX,News,https://www.autox.com#
AutoX,Magazine,https://www.autox.com/magazine/
AutoX,Subscribe Today,https://www.autox.com/subscriptions/
AutoX,Advertise With Us,https://www.autox.com/advertise-with-us/
AutoX,About Us,https://www.autox.com/about-us/
AutoX,Contact Us,https://www.autox.com/contact-us/
AutoX,Privacy Policy,https://www.autox.com/privacy-policy/
AutoX,autoX Awards,https://www.autox.com/awards/
AutoX,Maruti Suzuki,https://www.autox.com/new-cars/maruti-suzuki/
AutoX,Hyundai,https://www.autox.com/new-cars/hyundai/
AutoX,Tata,https://www.autox.com/new-cars/tata/
AutoX,Volkswagen,https://www.autox.com/new-cars/volkswagen/
AutoX,Honda,https://www.autox.com/new-cars/honda/
AutoX,Mahindra,https://www.autox.com/new-cars/mahindra/
AutoX,Kia,https://www.autox.com/new-cars/kia/
AutoX,Royal Enfield,https://www.autox.com/new-bikes/royal-enfield/
AutoX,Honda,https://www.autox.com/new-bikes/honda/
AutoX,KTM,https://www.autox.com/new-bikes/ktm/
AutoX,Bajaj,https://www.autox.com/new-bikes/bajaj/
AutoX,Yamaha,https://www.autox.com/new-bikes/yamaha/
AutoX,TVS,https://www.autox.com/new-bikes/tvs/
AutoX,Hero,https://www.autox.com/new-bikes/hero/
AutoX,Royal Enfield Himalayan 450,https://www.autox.com/new-bikes/royal-enfield/himalayan-450/
AutoX,KTM 390 Adventure,https://www.autox.com/new-bikes/ktm/390-adventure/
AutoX,BMW G 310 GS,https://www.autox.com/new-bikes/bmw/g-310-gs/
AutoX,Suzuki V-Strom SX,https://www.autox.com/new-bikes/suzuki/v-strom-sx/
AutoX,Hero Xpulse 200 4V,https://www.autox.com/new-bikes/hero/xpulse-200-4v/
AutoX,Yezdi Adventure,https://www.autox.com/new-bikes/yezdi/adventure/
AutoX,Honda cb350,https://www.autox.com/new-bikes/honda/cb350/
AutoX,[email protected],https://www.autox.com/cdn-cgi/l/email-protection#8be2e5ede4cbeafeffe4f3a5e8e4e6
